"Time","CO2","Temp","Humidity"
"8:10:27 AM",1050,18.4,47
"8:12:27 AM",1040,18.5,47
"8:14:27 AM",999,18.3,45
"8:16:27 AM",848,17.4,44
"8:18:27 AM",799,16.7,46
"8:20:27 AM",1164,16.7,47
"8:22:27 AM",1418,16.8,47
"8:24:27 AM",1650,16.9,47
"8:26:27 AM",1982,17.1,48
"8:28:27 AM",2221,17.3,47
"8:30:27 AM",2402,17.3,48
"8:32:27 AM",2466,17.4,48
"8:34:27 AM",2332,17.4,48
"8:36:27 AM",2178,17.5,48
"8:38:27 AM",2025,17.6,48
"8:40:27 AM",1974,17.6,48
"8:42:27 AM",2003,17.8,49
"8:44:27 AM",2054,17.9,49
"8:46:27 AM",2112,18,49
"8:48:27 AM",1653,18.2,50
"8:50:27 AM",1168,18.3,50
"8:52:27 AM",903,18.4,48
"8:54:27 AM",908,18.4,46
"8:56:28 AM",764,18.9,42
"8:58:28 AM",1152,19,44
"9:00:28 AM",928,19,44
"9:02:28 AM",861,19,43
"9:04:28 AM",896,19,42
"9:06:28 AM",920,18.9,42
"9:08:28 AM",896,18.9,42
"9:10:28 AM",962,18.9,42
"9:12:28 AM",955,18.9,42
"9:14:28 AM",995,18.9,42
"9:16:28 AM",1075,19,43
"9:18:28 AM",1064,18.9,43
"9:20:28 AM",1089,19,43
"9:22:28 AM",1096,19,43
"9:24:28 AM",1195,19.1,43
"9:26:28 AM",1301,19.1,43
"9:28:28 AM",1277,19.1,43
"9:30:28 AM",1311,19.2,43
"9:32:28 AM",1282,19.3,43
"9:34:28 AM",1305,19.3,43
"9:36:28 AM",1323,19.3,43
"9:38:28 AM",1428,19.3,43
"9:40:28 AM",1413,19.3,43
"9:42:28 AM",1407,19.4,43
"9:44:28 AM",1434,19.3,43
"9:46:28 AM",1460,19.4,43
"9:48:28 AM",1551,19.4,43
"9:50:28 AM",1592,19.4,43
"9:52:28 AM",1576,19.4,43
"9:54:28 AM",1627,19.4,43
"9:56:28 AM",1663,19.4,43
"9:58:28 AM",1706,19.5,43
"10:00:28 AM",1697,19.5,43
"10:02:28 AM",1727,19.5,43
"10:04:28 AM",1742,19.5,43
"10:06:28 AM",1812,19.6,43
"10:08:28 AM",1749,19.6,43
"10:10:28 AM",1705,19.6,43
"10:12:28 AM",1680,19.5,43
"10:14:28 AM",1668,19.5,43
"10:16:28 AM",1628,19.4,43
"10:18:28 AM",1604,19.4,43
"10:20:28 AM",1572,19.4,43
"10:22:28 AM",1552,19.4,43
"10:24:28 AM",1325,19.5,42
"10:26:28 AM",1265,19.4,42
"10:28:28 AM",1247,19.3,42
"10:30:28 AM",1261,19.2,42
"10:32:28 AM",1275,19.1,42
"10:34:28 AM",1304,19.1,42
"10:36:28 AM",1298,19,42
"10:38:28 AM",1313,18.9,42
"10:40:28 AM",1332,18.9,42
"10:42:28 AM",1335,18.9,42
"10:44:28 AM",1339,18.8,42
"10:46:28 AM",1331,18.8,42
"10:48:28 AM",1355,18.8,42
"10:50:28 AM",1342,18.7,42
"10:52:28 AM",1347,18.7,42
"10:54:28 AM",1342,18.7,42
"10:56:28 AM",1376,18.7,50
"10:58:28 AM",1386,19,44
"11:00:28 AM",1358,19.1,43
"11:02:28 AM",1362,19.1,43
"11:04:28 AM",1366,19.2,43
"11:06:28 AM",1371,19.2,43
"11:08:28 AM",1394,19.2,43
"11:10:28 AM",1427,19.2,43
"11:12:28 AM",1437,19.2,43
"11:14:28 AM",1432,19.3,43
"11:16:28 AM",1393,19.3,43
"11:18:28 AM",1376,19.3,43
"11:20:28 AM",1364,19.3,43
"11:22:28 AM",1404,19.3,43
"11:24:28 AM",1424,19.3,43
"11:26:28 AM",1455,19.3,43
"11:28:28 AM",1493,19.4,43
"11:30:28 AM",1584,19.4,44
"11:32:28 AM",1600,19.5,44
"11:34:28 AM",1645,19.6,44
"11:36:28 AM",1702,19.7,44
"11:38:28 AM",1700,19.8,44
"11:40:28 AM",1723,19.9,44
"11:42:28 AM",1764,20,44
"11:44:28 AM",1750,20,44
"11:46:28 AM",1780,20.1,44
"11:48:28 AM",1777,20.1,44
"11:50:28 AM",1809,20.2,44
"11:52:28 AM",1823,20.2,44
"11:54:28 AM",1829,20.2,44
"11:56:28 AM",1836,20.3,44
"11:58:28 AM",1862,20.3,44
"12:00:28 PM",1854,20.3,44
"12:02:28 PM",1874,20.2,44
"12:04:28 PM",1882,20.1,44
"12:06:28 PM",1898,20.1,44
"12:08:28 PM",1915,20.1,44
"12:10:28 PM",1918,20.1,44
"12:12:28 PM",1934,20.1,44
"12:14:28 PM",1973,20.2,44
"12:16:28 PM",1946,20.2,44
"12:18:28 PM",1993,20.2,44
"12:20:28 PM",2034,20.3,44
"12:22:28 PM",2041,20.3,44
"12:24:28 PM",2096,20.4,44
"12:26:28 PM",2097,20.5,44
"12:28:28 PM",2138,20.5,44
"12:30:28 PM",2163,20.4,44
"12:32:28 PM",2174,20.3,44
"12:34:28 PM",2167,20.2,44
"12:36:28 PM",2175,20.1,44
"12:38:28 PM",2172,20.1,44
"12:40:28 PM",2168,20.1,44
"12:42:28 PM",2184,20.2,44
"12:44:28 PM",2214,20.2,44
"12:46:28 PM",2257,20.2,44
"12:48:28 PM",2262,20.3,44
"12:50:28 PM",2300,20.3,44
"12:52:28 PM",2328,20.3,44
"12:54:28 PM",2356,20.4,45
"12:56:28 PM",2386,20.5,45
"12:58:28 PM",2410,20.4,45
"1:00:28 PM",2423,20.4,44
"1:02:28 PM",2359,20.2,44
"1:04:28 PM",2317,20.1,44
"1:06:28 PM",2256,20.1,44
"1:08:28 PM",2226,20,45
"1:10:28 PM",2211,20,45
"1:12:28 PM",2185,20,45
"1:14:28 PM",2193,20.1,45
"1:16:28 PM",2158,20.1,45
"1:18:28 PM",2180,20.1,45
"1:20:28 PM",2181,20,45
"1:22:28 PM",2193,20,45
"1:24:28 PM",2177,20.1,45
"1:26:28 PM",2179,20.1,45
"1:28:28 PM",2190,20.1,45
"1:30:28 PM",2183,20.1,45
"1:32:28 PM",2173,20.1,45
"1:34:28 PM",2181,20.1,45
"1:36:28 PM",2191,20.1,45
"1:38:28 PM",2165,20.1,45
"1:40:28 PM",2157,20.2,45
"1:42:28 PM",2209,20.2,45
"1:44:28 PM",2217,20.3,45
"1:46:28 PM",2644,20.4,46
"1:48:28 PM",3041,20.5,46
"1:50:28 PM",3194,20.5,46
"1:52:28 PM",3163,20.6,46
"1:54:28 PM",3079,20.6,46
"1:56:28 PM",2945,20.7,46
"1:58:28 PM",2685,20.6,46
"2:00:28 PM",2477,20.5,45
"2:02:28 PM",2364,20.5,45
"2:04:28 PM",2309,20.4,45
"2:06:28 PM",2265,20.5,46
"2:08:28 PM",2239,20.5,46
"2:10:28 PM",2269,20.5,46
"2:12:28 PM",2284,20.6,46
"2:14:28 PM",2267,20.7,46
"2:16:28 PM",2328,20.7,46
"2:18:28 PM",2365,20.8,46
"2:20:28 PM",2402,20.8,46
"2:22:28 PM",2378,20.8,45
"2:24:28 PM",2339,20.6,45
"2:26:28 PM",2344,20.6,45
"2:28:28 PM",2359,20.5,45
"2:30:28 PM",2383,20.5,45
"2:32:28 PM",2370,20.6,46
"2:34:28 PM",2398,20.6,46
"2:36:28 PM",2410,20.7,46
"2:38:28 PM",2451,20.7,46
"2:40:28 PM",2481,20.8,46
"2:42:28 PM",2518,20.9,46
"2:44:28 PM",2533,20.9,46
"2:46:28 PM",2521,20.8,45
"2:48:28 PM",2423,20.8,45
"2:50:28 PM",2425,20.7,45
"2:52:28 PM",2424,20.7,45
"2:54:28 PM",2418,20.7,45
"2:56:28 PM",2385,20.7,45
"2:58:28 PM",2339,20.7,45
"3:00:28 PM",2328,20.7,45
"3:02:28 PM",2299,20.7,45
"3:04:28 PM",2266,20.7,45
"3:06:28 PM",2269,20.7,45
"3:08:28 PM",2289,20.7,45
"3:10:28 PM",2250,20.7,45
"3:12:28 PM",2257,20.8,45
"3:14:28 PM",2264,20.7,45
"3:16:28 PM",2222,20.7,45
"3:18:28 PM",2140,20.6,45
"3:20:28 PM",2093,20.5,45
"3:22:28 PM",2069,20.5,45
"3:24:28 PM",2054,20.5,45
"3:26:28 PM",2038,20.4,45
"3:28:28 PM",2069,20.4,45
"3:30:28 PM",2120,20.4,45
"3:32:28 PM",2169,20.4,45
"3:34:28 PM",2197,20.3,45
"3:36:28 PM",2200,20.3,45
"3:38:28 PM",2191,20.2,45
"3:40:28 PM",2153,20.1,45
"3:42:28 PM",2139,20.1,45
"3:44:28 PM",2112,20.1,45
"3:46:28 PM",2083,20.1,45
"3:48:28 PM",2088,20.1,45
"3:50:28 PM",2095,20.1,45
"3:52:28 PM",2091,20.1,45
"3:54:28 PM",2079,20,45
"3:56:28 PM",2094,20,45
"3:58:28 PM",2088,20,45
"4:00:28 PM",2089,20,45
"4:02:28 PM",2085,20,45
"4:04:28 PM",2103,20,45
"4:06:28 PM",2109,20,45
"4:08:28 PM",2121,19.9,45
"4:10:28 PM",2157,19.8,46
"4:12:28 PM",1296,20.1,47
"4:14:28 PM",1175,20.4,46
"4:16:28 PM",1160,20.6,46
"4:18:28 PM",1037,20.8,45
"4:20:28 PM",1029,21,46
"4:22:28 PM",956,21.3,45
"4:24:28 PM",948,21.6,45
"4:26:28 PM",889,21.9,45
"4:28:28 PM",883,22.1,44
"4:30:28 PM",1243,22.3,43
"4:32:28 PM",1863,22.4,42
"4:34:28 PM",2003,22.4,43
"4:36:28 PM",2232,22.5,43
"4:38:28 PM",2389,22.7,43
"4:40:28 PM",2492,23.1,43
"4:42:28 PM",2639,23.3,41
"4:44:28 PM",2633,23.5,41
"4:46:28 PM",2691,23.6,40
"4:48:28 PM",499,25.2,26
"4:50:28 PM",431,27.4,22
"4:52:28 PM",675,26.3,28
"4:54:28 PM",638,25.4,31
"4:56:28 PM",635,24.8,32
"4:58:28 PM",650,24.4,33
